"Study #","Authors","Excluded?","Medium","Method","Collection equipment","Equip Length (mm)","Equip Diam (mm)","Climate","Year (publication)","Year (sampling)","Habitat Sampled","Site names","Spatial level","Spatial separation (m)","n","Inorganic C %","Carbonate  (%DW)","% mud (""silt & clay"", <63um)","DBD (Dry Bulk Density (g mL-1) = g (cm-3))","Corg (% DW)","Variance type(s)","InorgC var","Carb var","%mud var","DBD var","Corg var","Dating?","SAR (linear)","SAR units","SAR variance","SAR variance type","Sed MAR (mass)","Sed MAR units","MAR variance","MAR variance type","C donor isotope signatures","Core depth (m)","Core depth midpoint (m)","% Mangrove","% Seagrass","% Macroalgae","% saltmarsh","%Epiphytes/MPB","% Plantkon","% SPOM","% Terrestrial","AutochReported","AllochReported","%Tricho","Coral","Sewage","SUM","Autochthonous","Autoch_var","Allochthonous","Variance Type","% MNG Var","% SGR Var","% MAC Var","%EPIP Var","% PLK Var","% Tricho Var","%saltmarsh Var","%SPOM var","% Terrestrial var","Autochth. % var","Allochth. % var","Coral % Var","Sewage % Variability","OCsource_C13","OCsource_N15","OCsource_CN","OCsource_CPratio","OCsource_eDNA","OCsource_lipids","OCsource_lignin","No. source markers","End-members attempted","End-members reported","Attempted vs reported differences","Analysis method","Analysis method (detail)","Location","Nation","Lat (decimal)","Long (decimal)","Water depth (m)","SST min (C)","SST mean (C)","SST max (C)","Salinity","Salinity units","Macrophyte composition","Epiphyte composition","Seascape context","Habitat area data?","OC source marker measured","Source analysis notes","Notes","Data","Seston/SPOM"
41,"Serrano et al. 2020","Bayesian model","sediment","coring","Push Corer","1500","80","Temperate",2020,NA,"Seagrass","Oyster Harbour, Albany","Within core",NA,1,NA,NA,NA,NA,4,"SD",NA,NA,NA,NA,0.3,"14C Bayesian chronology",0.076,"cm/yr",0.012,"SE",NA,NA,NA,NA,"Seagrass (P australis), algae, terrestrial plants","0.1.35",0.375,NA,54,34,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,100,54,1,46,"SE",3,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,3,3,NA,"Bayesian Mixing Model (SimmR)","SimmR & JAGS","Western Australia","Australia",-34.982778,117.974972,"2",NA,NA,NA,NA,NA,"Posidonia australis",NA,"Harbour/estuary with FW input from rivers, persitant meadows of P australis",NA,"Stable isotope (C13)","One-isotope two/three source mixing models (R packages simmr & rjags)",NA,"in results text but detail profile data in figure 4",NA
42,"Serrano et al. 2018",NA,"sediment","coring","Push Corer",NA,"60","Tropical",2018,NA,"Seagrass",NA,"Among sites",15000,4,NA,NA,39.7560131922338,1.08406666233695,0.306006217567751,"SD",NA,NA,9.08504280904525,0.13172426600521,0.0892187070397725,"14C Bayesian chronology",0.46,"cm/yr",0.577408001330082,"SD",NA,NA,NA,NA,"Sargassum, Padina, Turbinaria, Avicennia, Enhalus, Thalassia, Halodule, Halophila, Salicornia, Zygophyllum, Anabasis, Suaeda, Colpomenia, Seston","0-0.6",0.3,33.3333333333333,33.3333333333333,33.3333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.6666666666667,33.3333333333333,17.3277234511635,66.6666666666667,"SD",23.9513395589196,17.3277234511635,8.04155872120988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,3,3,NA,"Bayesian Mixing Model (SimmR)","SimmR & JAGS","Red Sea","Saudi Arabia",22.281283,39.085333,"3.5",NA,NA,NA,NA,NA,"Enhalus acoroides, Halodule uninervis, Halophila stipulacea, Thalassia hemprichii, Thalassodendrum ciliatum",NA,NA,NA,"Stable isotope (C13)","One-isotope three-source mixing models (R packages simmr & rjags)","% silt/clay (<125um) vs Corg (Figure 3)",NA,NA
43,"Serrano et al. 2016c",NA,"sediment","coring","Push Corer",NA,"65","Temperate",2016,NA,"Seagrass",NA,"Among sites",100,4,NA,NA,6.5,0.94,0.8275,"SD",NA,NA,3.1091263510296,0.0783156008298049,0.414517792139252,"Pb210 alpha, 14C Bayesian chronology building",0.19,"cm/yr",0.0804155872120988,"SD",NA,NA,NA,NA,"Posidonia australis (detritus), epiphytes, macroalgae, seston","0-0.87",0.435,NA,66.5,22.25,NA,NA,NA,11.5,NA,NA,NA,NA,NA,NA,100.25,66.5,25.8263431402899,33.5,"SD",NA,25.8263431402899,17.3469497799085,NA,NA,NA,NA,8.85061203156784,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,3,3,NA,"Bayesian Mixing Model","MixSIAR","Western Australia","Australia",-32.156,115.669,"2",NA,NA,NA,NA,NA,"Posidonia australis",NA,"Sheltered marine embayment surrounded by sjhllow sand banks and seagrass meadows",NA,"Stable isotope (C13)","One-isotope (C13) three-source mixing models (SIAR)","% silt/clay (<125um) vs Corg (Figure 5b)","Table 1 & 4","Reported seston, moved to SPOM"
45,"Greiner et al. 2016",NA,"sediment","coring","Push Corer","200","100","Temperate",2016,NA,"Seagrass",NA,"Among sites",22000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zostera marina, phytobenthos/seston, macroalgae (Gracilaria, Ulva, Codium, Ectocarpus, Enteromorpha, Fucus, Polysiphonia, Scytosiphon)","0-0.1",0.05,NA,45.5,2.25,NA,50.5,NA,NA,NA,NA,NA,NA,NA,NA,98.25,45.5,6.36396103067893,54.5,"SD",NA,6.36396103067893,0.353553390593274,7.07106781186548,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,3,3,NA,"Bayesian Mixing Model","Bayesian mixing models","Virginia","USA",37.413056,-75.76,NA,NA,NA,NA,NA,NA,"Zostera marina",NA,NA,NA,"Stable isotopes (C13 & N15)","Three-source, two-tracer Bayesian mixing models","Seagrass meadow restoration, conducted litterbag decay experiments with macroalgae [Gracilaria, Ulva] and seagrass [Zostera])",NA,NA
49,"Jankowska et al. 2016",NA,"sediment","coring","Push Corer",NA,"20","Temperate",2016,"2012-2013","Seagrass",NA,"Among sites",3000,3,NA,NA,NA,NA,0.126666666666667,"SD",NA,NA,NA,NA,0.105987420637231,"Pb210 alpha",0.13,"cm/yr",0.02,"SD",0.24,"g/cm2/yr",0.01,"SD","POM, Zostera marine, Ruppia, Potamogeton, Cladophora, Polysiphonia, phtyobenthos epiphytes","0.02",0.01,NA,39.6666666666667,NA,NA,12.3333333333333,NA,39.3333333333333,NA,NA,NA,NA,NA,NA,91.3333333333333,39.6666666666667,1.52752523165195,60.3333333333333,"SD",NA,1.52752523165195,NA,6.02771377334171,NA,NA,NA,4.75219247646108,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,10,3,"Only 3 source groups reported","Bayesian Mixing Model","Bayesian SIAR","Gulf of Gdansk","Poland",54.666667,18.833333,NA,NA,NA,NA,NA,NA,"Zostera marina",NA,NA,NA,"Stable isotopes (C13 & N15)","Bayesian SIAR mixing model",NA,NA,NA
50,"Kennedy et al. 2004",NA,"sediment","coring","Push Corer","50","50","Tropical",2004,"1999","Seagrass",NA,"Among sites",780,5,NA,NA,NA,NA,0.88,"SD",NA,NA,NA,NA,0.664830805543786,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass leaves, mangrove leaves, seagrass epiphytes, SPOM","0-0.05",0.025,12.7,23.8,NA,NA,14,NA,49.6,NA,NA,NA,NA,NA,NA,87.4,23.8,20.9690247746527,76.2,"SD",22.9826021155134,20.9690247746527,NA,18.4255257726883,NA,NA,NA,27.3847585346302,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,3,4,NA,"Linear mixing model","Simple mixing model","Bolinao, Nha Trang, Ulugan","Vietnam & Phillipines",16.44,119.923333,NA,NA,NA,NA,NA,NA,"Enhalus acoroides",NA,NA,NA,"Stable isotope (C13)","One-isotope three-source mixing models",NA,NA,"Reported seston, moved to SPOM"
55,"Santos et al. 2019",NA,"sediment","coring","Syringe","50mL",NA,"Temperate",2019,"2014","Seagrass",NA,"Among sites",400,4,NA,NA,NA,NA,1.24,"SD",NA,NA,NA,NA,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,"POM, Spartina maritima, Zostera noltei, green macroalgae, microphytobenthos","0-0.05",0.025,NA,10.25,7.55,10,21.75,NA,38.625,NA,NA,NA,NA,NA,NA,88.175,10.25,1.3228756555323,89.75,"SD",NA,1.3228756555323,0.971253485622233,8.18026079453868,NA,NA,0.707106781186548,5.58830624309966,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,5,5,NA,"Bayesian Mixing Model (SimmR)","SimmR","Faro Inlet","Portugal",36.99,-7.88,NA,NA,NA,NA,NA,NA,"Zostera noltei",NA,"45% seagrass cover",NA,"Stable isotopes (C13 & N15)","Two-isotope, two-source mixing models (R simmr & rjags)","Pearson's r  0.78 (% clay and sed OM)",NA,NA
56,"Samper-Villarreal et al. 2018",NA,"sediment","coring","Push Corer","2700","56","Temperate",2018,"2013","Seagrass",NA,"Among sites",7500,4,1.98977030456386,NA,0.5,NA,0.639503520164046,"SD",2.04920020633941,NA,0.66332495807108,NA,0.284715182051285,"Pb210 gamma & alpha, C14",0.38,"cm/yr",0.399583116093093,"SD",NA,NA,NA,NA,"Seagrass, mangroves, macroalgae","0-1.3",0.65,NA,40.3464426587302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.3464426587302,40.3464426587302,8.90900572928247,59.6535573412698,"SD",NA,8.90900572928247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,3,1,"Only seagrass source reported","Bayesian Mixing Model","SIAR","Queensland","Australia",-27,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stable isotopes (C13 & N15)","Only reported seagrass; Two-isotope, three-source mixing models",NA,NA,NA
57,"Samper-Villarreal et al. 2016",NA,"sediment","coring","Syringe","90","30","Temperate",2016,"2012","Seagrass",NA,"Among sites",5000,11,NA,NA,3.3,1.2,0.5,"SD",NA,NA,5.3,0.3,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass (Z. muelleri, H. ovalis), macroalgae, mangroves","0-0.09",0.045,54.4690909090909,37.8818181818182,4.51090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.3927272727273,37.8818181818182,8.81700835678617,62.1181818181818,"SD",10.6518875834712,8.81700835678617,1.63413251938424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,3,3,NA,"Bayesian Mixing Model","SIAR","Queensland","Australia",-27,153,NA,NA,NA,NA,NA,NA,NA,NA,"Canopy complexity, depth, waves, turbidity",NA,"Stable isotopes (C13 & N15)","Two-isotope, three-source mixing models","Mud vs C content (Fig 2h)",NA,NA
60,"Saavedra-Hortua et al. 2020",NA,"sediment","sediment traps","sediment traps",NA,NA,"Tropical",2020,"2017","Seagrass","Chek Jawa","Within site",NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local mangroves, seagrass, macroalgae, plankton/SPOM, terrestrial trees","0-0.01",0.005,33.4498666666667,9.5402,16.7537666666667,NA,NA,NA,30.5483,9.70786666666667,NA,NA,NA,NA,NA,66.5501333333333,9.5402,2.63656136789316,90.4598,"SD",2.21793517388484,2.63656136789316,2.9855983457629,NA,NA,NA,NA,3.20633876251403,1.20027059819396,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,5,5,NA,"Bayesian Mixing Model","MixSIAR","Singapore","Singapore",1.410833,103.990556,NA,23,NA,32,NA,NA,"Rhizophora apiculata, Avicennia alba, Bruguiera cylindrica, Avicennia rumphiana, Nypa fruticans, Cymodocea rotundata, Halodule uninervis, Halophila ovalis, Ulva, Dictyota",NA,NA,"Yes (Figure 1)","Stable isotopes (C13 & N15)","Two-isotope, five-source Bayesian MixSIAR",NA,NA,NA
61,"Rohr et al. 2016",NA,"sediment","coring","Not described","500","50","Temperate",2016,"2014","Seagrass",NA,"Among sites",2500,5,NA,NA,19.8,1.258,1.322,"SD",NA,NA,10.0714944273429,0.0526307894677631,0.977890586926779,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zostera marina, phytoplankton, algae, Ruppia, Potamogeton","0-0.25",0.125,NA,47.8,32.8,NA,NA,19.1,NA,1.3,NA,NA,NA,NA,NA,101,47.8,27.8513913476508,52.2,"SD",NA,27.8513913476508,25.4548620110186,NA,8.20365772079747,NA,NA,NA,2.90688837074973,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,4,4,NA,"Linear mixing model","Isosource 1.3 (increments 1%, tolerance 0.1)","Limfjorden","Denmark",55,10,"3",NA,12.5,NA,17.5,NA,"Zostera marina",NA,NA,NA,"Stable isotope (C13)","Isosource 1.3 (increments 1%, tolerance 0.1)",NA,NA,NA
61,"Rohr et al. 2016",NA,"sediment","coring","Not described","500","50","Temperate",2016,"2014","Seagrass",NA,"Among sites",7000,5,NA,NA,20.66,1.238,2.188,"SD",NA,NA,15.4292903271667,0.0878635305459553,2.39024475734181,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zostera marina, phytoplankton, algae, Ruppia, Potamogeton","0-0.25",0.125,NA,20.7,25.2,NA,NA,52.1,NA,0,NA,NA,NA,NA,NA,98,20.7,10.0970292660762,79.3,"SD",NA,10.0970292660762,12.2300858541549,NA,18.0845237703402,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,4,4,NA,"Linear mixing model","Isosource 1.3 (increments 1%, tolerance 0.1)","Funen","Denmark",55,10,"3",NA,12.5,NA,17.5,NA,"Zostera marina",NA,NA,NA,"Stable isotope (C13)","Isosource 1.3 (increments 1%, tolerance 0.1)",NA,NA,NA
61,"Rohr et al. 2016",NA,"sediment","coring","Not described","500","50","Temperate",2016,"2014","Seagrass",NA,"Among sites",8000,10,NA,NA,5.39,1.351,0.24,"SD",NA,NA,3.55354283309864,0.028848262031225,0.105934990547138,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Zostera marina, phytoplankton, algae, Ruppia, Potamogeton","0-0.25",0.125,NA,8.28,7.1,NA,NA,72.5,NA,8.05,NA,NA,NA,NA,NA,95.93,8.28,5.83148542159047,91.72,"SD",NA,5.83148542159047,8.37589132902019,NA,17.4292219498685,NA,NA,NA,6.718341395844,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,4,4,NA,"Linear mixing model","Isosource 1.3 (increments 1%, tolerance 0.1)","Baltic Sea","Finland",60,20,"3",NA,NA,NA,5,NA,"Zostera marina",NA,NA,NA,"Stable isotope (C13)","Isosource 1.3 (increments 1%, tolerance 0.1)",NA,NA,NA
62,"Liu et al. 2016",NA,"sediment","surface scrape","Not described",NA,NA,"Tropical",2016,"2013","Seagrass","Xincun Bay (3 transects)","Within site",NA,3,NA,NA,NA,1.45333333333333,0.134166666666667,"SD",NA,NA,NA,0.0642910050732864,0.0814836384394642,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass, Macroalgae, Epiphytes and SPOM","0-0.03",0.015,NA,11,26.3333333333333,NA,NA,NA,62.6666666666667,NA,NA,NA,NA,NA,NA,100,11,3.60555127546399,89,"SD",NA,3.60555127546399,8.32666399786453,NA,NA,NA,NA,11.9303534454488,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,9,3,"Authors distilled down to 3 classes due to overlaps in 13C SI","Bayesian Mixing Model","MixSIAR","Hainan Island","China",18.4094,109.9617,NA,NA,NA,NA,NA,NA,"Thalassia hemprichii, Enhalus acoroides, Ulva pertusa and Hypnea boergeseni",NA,"Adjacent to fish mariculture cages","200Ha seagrass","Stable isotope (C13)","One-isotope, nine-source linear mixing models MixSIAR",NA,NA,NA
63,"Ricart et al. 2020",NA,"sediment","coring","Push Corer","200","50","Tropical",2020,"2013","Seagrass",NA,"Among sites",350,4,NA,NA,31.589,1.47,1.323,"SD",NA,NA,29.178,0.6273,1.373,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass, mangroves, algae/seston","0-0.1",0.05,50.57,22.79,26.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.44,22.79,12.37,77.21,"SD",15.5,12.37,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,3,3,NA,"Bayesian Mixing Model","MixSIAR 4.2","Queensland","Australia",-23.866667,151.2,NA,NA,NA,NA,NA,NA,"Zostera muelleri, Halophila ovalis, H. decipiens, H. uninervis",NA,"Seagrass located in an almost entirely closed bay with only one narrow channel connecting to the open sea. Dominant seagrass species of T. hemprichii and E. acoroides occupy an area of approximately 200 ha in the shallow waters, located nearthe fish cage culture systems.","Yes (Figure 5)","Stable isotopes (C13 & N15)","Bayesian MixSIAR 4.2, two isotopes, three sources","GLS spatial model indicates <63um key Corg % predictor",NA,NA
65,"Reef et al. 2017",NA,"sediment","coring","Syringe","10mL",NA,"Temperate",2017,NA,"Seagrass",NA,"Among sites",7500,3,NA,NA,NA,NA,0.303333333333333,"SD",NA,NA,NA,NA,0.0152752523165195,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass, mangrove, saltmarsh, terrestrial","0.01",0.01,10.1166666666667,70.5533333333333,NA,18.3533333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.9066666666667,70.5533333333333,29.9771285037999,29.4466666666667,"SD",10.0318011011649,29.9771285037999,NA,NA,NA,NA,19.0975923438881,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,4,3,"C3 & C4 saltmarsh combined here","Bayesian Mixing Model","Bayesian SIAR","Moreton Bay","Australia",-27,153,NA,NA,NA,NA,NA,NA,"Zostera capricorni (95%); Halophila ovalis (5%)",NA,"70% seagrass cover","Yes (Figure 1)","Stable isotopes (C13 & N15)","Bayesian SIAR , two-isotope, four sources",NA,NA,NA
65,"Reef et al. 2017",NA,"sediment","coring","Syringe","10mL",NA,"Temperate",2017,NA,"Seagrass",NA,"Among sites (eDNA)",7500,3,NA,NA,NA,NA,0.303333333333333,"SD",NA,NA,NA,NA,0.0152752523165195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.01",0.01,8.41,87.6066666666667,NA,1.98,NA,NA,NA,1.47599333333333,NA,NA,NA,NA,NA,91.06266,87.6066666666667,6.78127077569782,12.3933333333333,"SD",3.90577777145603,6.78127077569782,NA,NA,NA,NA,3.42946059898638,NA,0.902330626839926,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,50,4,NA,"Biomarker rel. abund./ratio","SIMPER (OTU composition)","Moreton Bay","Australia",-27,153,NA,NA,NA,NA,NA,NA,"Zostera capricorni (95%); Halophila ovalis (5%)",NA,"70% seagrass cover","Yes (Figure 1)","eDNA","SIMPER analysis of OTU composition",NA,NA,NA
67,"Lucero & Herrera-Silveira 2021",NA,"sediment","coring","Push Corer","1000",NA,"Tropical",2021,"2017-2018","Seagrass","Los Petenes BioRes (all depths)","Among sites",NA,5,3.686,NA,NA,0.28,10.546,"SD",0.208398656425611,NA,NA,0.130384048104053,4.00689156329442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0-0.05",0.025,7.8,56.6,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.6,56.6,4.92950301754649,43.4,"SD",1.6431676725155,4.92950301754649,3.39116499156263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,3,3,NA,"Bayesian Mixing Model (SimmR)","SimmR","Campeche","Mexico",20.138889,-90.626389,"1",NA,29.11,NA,36,"ppt","Thalassia testudinum, Synringodium filiforme, Halodule wrightii & ""macroalgae""",NA,"57% cover seagrass & 25% macroalgae","yes","Stable isotopes (C13 & N15)","Two-isotope, 3-source Bayesian mixing model SMMIR",NA,NA,NA
69,"Miyajima et al. 2015",NA,"sediment","coring","Percussion Corer (PVC pipe)","950","40","Temperate",2015,"2012","Seagrass",NA,"Among sites",1000,3,NA,NA,NA,1.31679061720362,0.425517458043881,"SD",NA,NA,NA,0.0155978620364531,0.0757069767457513,"C-14",0.123,"cm/yr",NA,NA,NA,NA,NA,NA,"Seagrass, plankton, terrestrial, macroalgae","0-.95",0.475,NA,41.3333333333333,25.9333333333333,NA,NA,19.6666666666667,NA,13.0666666666667,NA,NA,NA,NA,NA,100,41.3333333333333,28.6498400228227,58.6666666666667,"SD",NA,28.6498400228227,10.6837883418445,NA,11.6573295970103,NA,NA,NA,8.35244475188751,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,4,4,NA,"Linear mixing model","IsoSource Model","Ishigaki Island","Japan",24.3652,124.2502,"0",NA,NA,NA,NA,NA,"Thalassia hemprichii,Cymodocea serrulata",NA,NA,NA,"Stable isotope (C13)","1 isotope, 4 source IsoSource Model",NA,"Table S1-S3, Table 3",NA
69,"Miyajima et al. 2015",NA,"sediment","coring","Percussion Corer (PVC pipe)","2000","40","Temperate",2015,"2009-2012","Seagrass",NA,"Among sites",3000,5,NA,NA,NA,0.885328757126243,0.963336390158839,"SD",NA,NA,NA,0.215521975199374,0.291643608235231,"C-14",0.09,"cm/yr",0.0491222963632606,"SD",NA,NA,NA,NA,"Seagrass, plankton, terrestrial, macroalgae","0-2",1,NA,15.88,23.14,NA,NA,27.42,NA,33.58,NA,NA,NA,NA,NA,100.02,15.88,7.19214849679844,84.12,"SD",NA,7.19214849679844,9.62668167127178,NA,4.33266661537673,NA,NA,NA,19.6862134500264,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,4,4,NA,"Linear mixing model","IsoSource Model","Honshu Island","Japan",34.3242,132.8944,"0",NA,NA,NA,NA,NA,"Zostera marina",NA,NA,NA,"Stable isotope (C13)","1 isotope, 4 source IsoSource Model",NA,"Table S1-S3, Table 3",NA
69,"Miyajima et al. 2015",NA,"sediment","coring","Percussion Corer (PVC pipe)","2000","60","Tropical",2015,"2010","Seagrass",NA,"Among sites",1000,2,NA,NA,NA,1.3820339405227,0.886817286438074,"SD",NA,NA,NA,0.193600945250615,0.825328716107692,"C-14",0.082,"cm/yr",NA,NA,NA,NA,NA,NA,"Seagrass, plankton, terrestrial, macroalgae","0-2",0.588235294117647,NA,10.8,18.2,NA,NA,19.5,NA,51.5,NA,NA,NA,NA,NA,100,10.8,11.879393923934,89.2,"SD",NA,11.879393923934,18.6676190233249,NA,12.1622366364086,NA,NA,NA,42.7092495836675,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,4,4,NA,"Linear mixing model","IsoSource Model","Andaman Sea","Thailand",9.2513,98.3394,"0",NA,NA,NA,NA,NA,"Cymodocea serrulata",NA,NA,NA,"Stable isotope (C13)","1 isotope, 4 source IsoSource Model",NA,"Table S1-S3, Table 3",NA
71,"Mazarrasa et al. 2017",NA,"sediment","coring","Push Corer","600","90","Temperate",2017,"2012-2013","Seagrass",NA,"Among sites",3000,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pb210",NA,NA,NA,NA,NA,NA,NA,NA,"Seagrass & seston","0-0.4",0.2,NA,59,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,100,59,12,41,"SD",NA,12,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,2,NA,"Linear mixing model","Linear mixing model (Phillips & Gregg 2003)","Balearic Islands","Spain",40,6,NA,NA,NA,NA,NA,NA,"Posidonia oceanica",NA,"Sites covered a spectrum of ""human impact"" from low to high",NA,"Stable isotope (C13) & C:N ratio","1 isotope & C:N ratio, 2 source model","Considered Suess effect on 13C over time due to burning of fossil fuels since 1900.",NA,"Reported seston, moved to SPOM"
76,"Oreska et al. 2018",NA,"sediment","coring","Push Corer",NA,"60","Temperate",2018,"2014","Seagrass",NA,"Among sites",250,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pb210 alpha",0.6,"cm/yr",NA,NA,NA,NA,NA,NA,"Seagrass, S. alterniflora, benthic diatoms","0.0-0.06",0.03,NA,35.3,NA,44.8,19.9,NA,NA,NA,NA,NA,NA,NA,NA,100,35.3,10.17,64.7,"SD",NA,10.17,NA,11.147,NA,NA,9.06,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,3,3,NA,"Bayesian Mixing Model","Bayesian SIAR (34S excluded due to ""discrepancies"")","Virginia","USA",37.266667,-75.799167,NA,NA,NA,NA,NA,NA,"Zostera marina",NA,"Restored eelgrass meadow","Figure 1?, Table 1, Spatial statistics provided in Table2","Stable isotopes (C13, 15N, 34S)","2 isotope, 3 source, Bayesian SIAR (34S excluded due to ""discrepancies"")","Excluded d34S due to discrepancies ranges in soil mixture and sources","Table 2",NA
77,"Ortega et al. 2020",NA,"sediment","coring","Syringe","10mL",NA,"Tropical",2020,NA,"Seagrass","Red Sea","Among sites",15000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Published data (Garcias-Bonet et al. 2018)","0-0.01",0.005,10.58,37.85,27.93,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,71.78,37.85,25.51,62.15,"95% CL",11.82,25.51,25.83,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,4,4,NA,"Bayesian Mixing Model (SimmR)","SIMMR","Red Sea","Saudi Arabia",22,41,NA,NA,NA,NA,NA,NA,"Thalassodendron ciliatum, Cymodocea rotunda, Halodule uninervis, Thalassia hemprichii, Halophila stipulacea, H ovalis, H decipiens",NA,NA,NA,"Stable isotopes (C13 & N15)","2 isotope, 4 member Bayesian SIMM","Study suggests eDNA proportions map to mixing model results from isotopes",NA,NA
77,"Ortega et al. 2020",NA,"sediment","coring","Syringe","10mL",NA,"Tropical",2020,NA,"Seagrass","Red Sea","Among sites (eDNA)",15000,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Collected eDNA sequences from seagrass & mangrove habitats (included macroalgae)","0-0.01",0.005,2.5,38,40,NA,NA,NA,NA,19.5,NA,NA,NA,NA,NA,97.5,38,10,62,"SE",2,10,5,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,48,4,NA,"Biomarker rel. abund./ratio","""relative eDNA abundance"" in sediment","Red Sea","Saudi Arabia",22,41,NA,NA,NA,NA,NA,NA,"Thalassodendron ciliatum, Cymodocea rotunda, Halodule uninervis, Thalassia hemprichii, Halophila stipulacea, H ovalis, H decipiens",NA,NA,NA,"eDNA","""relative eDNA abundance"" in sediment","Study suggests eDNA proportions map to mixing model results from isotopes",NA,NA
80,"Prentice et al. 2019",NA,"sediment","coring","Not described","300","70","Temperate",2019,NA,"Seagrass",NA,"Among sites",3300,6,1.6,NA,1.4,NA,0.45,"SD",0.244948974278318,NA,2.27802546078836,NA,0.0489897948556636,"Pb210ex",NA,NA,NA,NA,NA,NA,NA,NA,"Published sources (Z. marina, terrest, kelp)","0-0.3",0.15,NA,25.3,33.3,NA,NA,NA,NA,41.3,NA,NA,NA,NA,NA,99.9,25.3,20,74.7,"95% CL",NA,20,25,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,3,3,NA,"Bayesian Mixing Model","MixSIAR","British Columbia","Canada",52,-129,NA,NA,NA,NA,NA,NA,"Zostera marina",NA,"Seagrass meadows samples taken within meadow, on edge and outside","Yes (Table 1)","Stable isotopes (C13 & N15)","1 isotope, 3 source Bayesian MixSIAR",NA,NA,NA
